"ticker","perm_id","name"
"PTC US","QQ00XL-S-US","Ptc Inc."
"ROG US","HLWYS9-S-US","Rogers Corporation"
"7741 JP","PGDHWP-S-JP","HOYA CORPORATION"
"D US","LHF4PR-S-US","Dominion Energy Inc"
"T US","PQJ6YX-S-US","AT&T Inc."
"SLAB US","F4SDKX-S-US","Silicon Laboratories"
"FRC US","L6TPMT-S-US","First Republic Bank"
"ETFC US","KQKRHV-S-US","E*TRADE Financial Corporation"
"HUM US","NNK8WV-S-US","Humana Inc."
"2579 JP","MBPDNX-S-JP","Coca-Cola Bottlers Ja"
"CVS US","JDWM79-S-US","CVS Health Corporation"
"ARW US","HKMMSD-S-US","Arrow Electronics, In"
"ENR US","MXTG4X-S-US","Energizer Holdings In"
"NSC US","TY1NFD-S-US","Norfolk Southern Corporation"
"NUAN US","QMRMKG-S-US","Nuance Communications"
"ADS US","D656C6-S-US","Alliance Data Systems Corporation"
"SYK US","NYHJP1-S-US","Stryker Corporation"
"AKAM US","HXZ69B-S-US","Akamai Technologies, Inc."
"M US","KHRMVQ-S-US","Macy's Inc"
"III LN","R1CDW6-S-GB","3i Group plc"
"IP US","GX4W4P-S-US","International Paper Company"
"MMC US","RWB1HB-S-US","Marsh & McLennan Companies, Inc."
"STI US","X6BVNJ-S-US","SunTrust Banks, Inc."
"BDX US","QLL3Y6-S-US","Becton, Dickinson and Company"
"TRV US","G8VDR1-S-US","Travelers Companies, Inc."
"ORLY US","SDDLB6-S-US","O'Reilly Automotive, Inc."
"BHF US","W733DQ-S-US","Brighthouse Financial, Inc."
"MDLZ US","D8DHJ7-S-US","Mondelez International, Inc. Class A"
"SO IM","PVWSJ4-S-IT","Sogefi SPA"
"WDAY US","MS9VJJ-S-US","Workday, Inc. Class A"
"HBI US","V86L1Y-S-US","Hanesbrands Inc."
"NCM AU","K150LY-S-AU","Newcrest Mining Limit"
"CBOE US","X5H2LD-S-US","Cboe Global Markets Inc"
"ABC US","B3FZ0D-S-US","AmerisourceBergen Corporation"
"WELL US","FXHMTX-S-US","Welltower, Inc."
"TEL NO","SM683X-S-NO","Telenor ASA"
"NWSA US","GLZ11J-S-US","News Corporation Class A"
"WCG US","LP4SHG-S-US","WellCare Health Plans, Inc."
"RIO AU","WHWHP3-S-AU","Rio Tinto Limited"
"CPRT US","P455NW-S-US","Copart, Inc."
"TMK US","MXWGG8-S-US","Torchmark Corporation"
"SNV US","PX0MZV-S-US","Synovus Financial Cor"
"FB US","BHM9TN-S-US","Facebook, Inc. Class A"
"SLG US","X9VRBQ-S-US","SL Green Realty Corp."
"BRK/B US","N138TY-S-US","Berkshire Hathaway Inc. Class B"
"ARNC US","PP17YF-S-US","Arconic, Inc."
"COMM US","DDZ68Q-S-US","Commscope Holding Co."
"NXST US","B4KM2X-S-US","Nexstar Media Group,"
"ORA FP","X31PTN-S-FR","Orange SA"
"CDK US","DW7HVT-S-US","Cdk Global Inc"
"TRCO US","LNPH82-S-US","Tribune Media Co. Cla"
"MNST US","NT3TVP-S-US","Monster Beverage Corporation"
"7974 JP","G3B54B-S-JP","Nintendo Co., Ltd."
"PFE US","JDQZCY-S-US","Pfizer Inc."
"APD US","P7M7WC-S-US","Air Products and Chemicals, Inc."
"MKSI US","TGB6X1-S-US","Mks Instruments, Inc."
"NOC US","D2W0G9-S-US","Northrop Grumman Corporation"
"EBAY US","S5G28Y-S-US","eBay Inc."
"ABBV US","V3049L-S-US","AbbVie, Inc."
"ELLI US","DGFSW4-S-US","Ellie Mae, Inc."
"KL CN","XHFBHP-S-CA","Kirkland Lake Gold Ltd."
"CHD US","QVJHVF-S-US","Church & Dwight Co., Inc."
